Year (coverage),Source Folder,Source File,Area,Risk-assessed Population,With history of smoking (Female),With history of smoking (Male),Binge Drinkers (Female),Binge Drinkers (Male),With Insufficient Physical Activity (Female),With Insufficient Physical Activity (Male),Consumed Unhealthy Diet (Female),Consumed Unhealthy Diet (Male),Overweight (Female),Overweight (Male),Obese (Female),Obese (Male)
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Negros Oriental,27911,688,2969,1445,3602,2066,1117,0,0,2800,1693,2182,1008
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Siquijor,4655,39,402,366,639,0,0,0,0,679,451,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,City of Bacolod,7471,232,647,443,950,0,0,0,0,1945,843,0,0
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,NCR,715074,4837,8683,15844,17584,37398,18038,28363,14744,33066,18858,21232,9992
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,City of Malabon,18134,354,351,817,700,887,396,508,304,3024,1322,0,0
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,City of Navotas,11883,255,407,453,584,1705,869,1521,789,707,416,1001,579
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,City of Valenzuela,67987,93,530,91,178,0,0,0,0,2427,1577,0,0
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,City of Caloocan,87665,304,344,1697,1103,4886,1794,4465,1662,2114,782,2918,1033
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,City of Marikina,4764,128,302,205,307,868,523,845,521,275,205,712,353
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,City of Pasig,46949,802,1602,2018,2552,0,0,0,0,4639,4135,0,0
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Pateros,2963,2,13,19,11,56,20,51,17,18,9,56,27
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,City of Taguig,110565,205,363,4447,5496,4514,2488,4161,2169,3628,1961,3536,1944
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Quezon City,123450,871,1305,2198,2139,8551,3697,4187,2314,3214,1417,4400,1923
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,City of Makati,13191,157,313,197,218,2225,1031,742,383,613,260,2087,1101
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,City of Mandaluyong,28775,357,663,747,840,2735,1175,2497,1151,2688,1693,1554,619
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,City of San Juan,7447,53,132,186,279,727,434,251,161,1249,723,394,236
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,City of Manila,104273,283,337,891,804,4872,2717,4084,2291,2409,1073,2385,1066
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,City of Las Piñas,25022,602,1257,982,1213,3403,2113,3149,2099,1661,987,1382,713
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,City of Muntinlupa,20229,164,431,498,754,0,0,0,0,3483,1867,0,0
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,City of Parañaque,19347,41,97,124,152,972,313,1009,430,436,179,334,145
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Pasay City,22430,166,236,274,254,997,468,893,453,481,252,473,253
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,CAR,194361,1712,5858,2575,8916,0,0,0,0,2575,8916,8847,6053
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Abra,29426,411,1295,614,1431,0,0,0,0,614,1431,985,721
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Apayao,14968,103,568,266,1021,0,0,0,0,266,1021,775,567
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Benguet,45669,495,828,543,1488,0,0,0,0,543,1488,1380,773
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Ifugao,21893,57,223,250,780,0,0,0,0,250,780,1546,1056
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Kalinga,38238,348,1871,378,2639,0,0,0,0,378,2639,1056,1010
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Mountain Province,27230,72,532,71,795,0,0,0,0,71,795,1249,967
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,City of Baguio,16937,226,541,453,762,0,0,0,0,453,762,1856,959
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Region 1,342961,3372,14740,4820,13967,582,519,975,1153,12320,9879,601,610
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Ilocos Norte,39805,443,1154,215,878,0,0,0,0,1538,1157,0,0
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Ilocos Sur,92199,282,3209,345,1579,0,0,0,0,4934,3912,0,0
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,La Union,77045,563,2140,1134,2868,582,519,975,1153,1515,1240,601,610
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Pangasinan,125098,1987,7875,2834,8053,0,0,0,0,4214,3328,0,0
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,City of Dagupan,8814,97,362,292,589,0,0,0,0,119,242,0,0
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Region 2,558034,7755,29903,9864,36829,23113,20330,30280,27800,18387,15956,6845,5649
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Batanes,3588,17,136,314,466,121,145,401,409,273,262,124,111
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Cagayan,157652,3148,11859,4215,14909,6729,6404,10025,9172,7187,6589,2474,1872
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Isabela,272022,3255,13434,3611,15752,12459,10612,14381,13159,8251,7080,3051,2680
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Nueva Vizcaya,44467,369,903,384,1041,1387,738,1484,787,882,507,368,203
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Quirino,32367,398,1314,290,1432,726,759,959,926,767,656,331,308
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,City of Santiago,47938,568,2257,1050,3229,1691,1672,3030,3347,1027,862,497,475
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Region 3,1716158,37917,95731,41657,101056,50334,42004,54660,49113,49646,41089,24047,19041
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Aurora,38525,660,1958,1682,2733,3005,2574,5161,4877,2070,1921,1701,1251
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Bataan,112785,2892,4343,985,2654,2079,1433,2152,1599,2816,1738,469,309
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Bulacan,616345,12754,33025,17563,40118,21663,19530,19830,18850,22358,19488,11091,9576
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Nueva Ecija,358729,7394,28522,9063,29227,8548,7483,10474,10280,8567,7437,4701,3719
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Pampanga,187836,3200,8815,3306,9132,7811,6396,7490,6491,5058,3783,2551,1718
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Tarlac,230775,5202,8295,3966,7747,1497,603,2282,1581,3591,2912,1374,919
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Zambales,112861,3241,7576,2999,6354,2969,2229,4367,3607,3522,2763,1606,1084
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,City of Angeles,38689,2303,2673,1613,2282,2379,1477,2389,1403,1373,865,478,418
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,City of Olongapo,19613,271,524,480,809,383,279,515,425,291,182,76,47
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Region 4A,1100096,20701,72582,44111,92108,4918,28822,77137,141111,93447,63639,77137,84662
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Batangas,386617,6347,33669,13921,44032,1394,10780,24964,53254,35668,28539,24964,31889
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Cavite,295393,5882,16785,10147,20340,1133,7689,21087,37970,26027,17775,21087,22720
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Laguna,140726,2582,8217,4876,9180,763,3483,9755,16786,9932,5366,9755,10103
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Quezon,99713,1688,5203,6399,7165,952,2527,7905,11529,8923,4854,7905,7031
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Rizal,137582,3291,6715,7208,9128,516,3202,10257,15871,9620,4786,10257,9502
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,City of Lucena,40065,911,1993,1560,2263,160,1141,3169,5701,3277,2319,3169,3417
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Region 4B,125734,3188,12381,5978,14124,3377,2398,5269,4069,7870,5596,4380,2746
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Marinduque,4557,12,193,130,255,1,1,2,5,183,110,85,67
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Occidental Mindoro,20454,518,2496,897,2605,1039,528,1065,760,568,364,440,305
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Oriental Mindoro,43643,1176,3858,2292,5044,905,827,1934,1669,2590,2255,1555,1155
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Palawan,35446,784,4002,1345,4009,1287,965,1714,1279,1666,1237,1770,954
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Romblon,10895,526,984,533,1280,145,77,554,356,1495,907,180,89
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,City of Puerto Princesa,10739,172,848,781,931,0,0,0,0,1368,723,350,176
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Region 5,488141,9614,36626,16982,35486,30943,21596,35870,25923,28718,20122,8737,5612
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Albay,64261,1075,5043,1273,4162,6991,4538,6983,4867,4818,3440,1752,1294
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Camarines Norte,55330,592,1856,1005,1427,2015,1618,2468,1915,1892,1140,620,360
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Camarines Sur,186417,2658,12087,5058,10410,14747,10708,15703,11501,9106,6499,3293,2088
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Catanduanes,53018,400,3813,2122,5035,2033,1489,1968,1676,3584,3100,1281,1037
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Masbate,42888,4106,7780,5681,8769,2354,1564,5518,3755,3755,2206,1190,472
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Sorsogon,79199,685,5833,1694,5462,2231,1385,2462,1743,5271,3574,486,302
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,City of Naga,7028,98,214,149,221,572,294,768,466,292,163,115,59
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Region 6,604617,3482,20714,5374,26433,9154,7711,10251,8695,8513,7415,3246,2575
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Aklan,19992,179,591,344,742,797,545,688,490,369,225,187,121
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Antique,66855,728,4150,861,4759,1551,1360,2268,1940,1084,939,477,371
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Capiz,117485,431,4210,1135,6164,4770,4132,4063,3396,1597,1332,1345,903
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Guimaras,177722,154,2484,333,3281,571,488,1391,1110,1976,1675,939,880
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Iloilo,177722,1595,8093,2133,10059,3,8,224,356,2540,2437,1,1
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,City of Iloilo,44841,395,1186,568,1428,1462,1178,1617,1403,947,807,297,299
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Region 7,388410,5350,22141,17378,34126,23383,17215,31046,23213,18870,14554,15445,10471
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Bohol,70915,934,3848,3404,6268,4914,3241,8198,5843,4403,3027,2372,1336
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Cebu,215911,2918,13759,10789,22475,11743,9295,13870,11131,10735,9143,9949,7187
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,City of Cebu,44423,821,2790,2319,3679,4414,3026,6120,4169,2857,1760,2252,1372
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,City of Lapu-Lapu,39732,549,1549,818,1573,2033,1547,2709,1954,818,575,764,495
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,City of Mandaue,17429,128,195,48,131,279,106,149,116,57,49,108,81
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Region 8,299022,3844,13524,12841,16494,2945,2115,7750,4795,11053,6693,1399,1239
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Biliran,13988,305,904,1192,1266,1102,594,1306,685,949,497,243,116
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Eastern Samar,34043,219,1099,1710,1742,0,0,0,0,1180,660,0,0
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Leyte,77033,891,3437,3271,3725,1843,1521,6444,4110,3448,1813,1156,1123
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Northern Samar,34152,376,1566,1533,1889,0,0,0,0,1950,1136,0,0
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Southern Leyte,55641,404,2313,1163,2349,0,0,0,0,2012,1162,0,0
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Samar,38330,1175,2673,2178,3097,0,0,0,0,656,483,0,0
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Ormoc City,12280,160,462,380,811,0,0,0,0,619,727,0,0
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,City of Tacloban,33555,314,1070,1414,1615,0,0,0,0,239,215,0,0
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Region 9,234412,2865,15684,3500,12327,9175,7084,12792,9513,6498,4308,2615,1814
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Zamboanga del Norte,54943,887,3625,992,2869,3640,2831,4178,3688,1920,1161,598,391
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Zamboanga del Sur,71176,940,4578,1304,3670,2308,1830,3507,2409,1621,1156,672,404
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Zamboanga Sibugay,71038,731,5563,953,4569,2529,1944,3850,2647,1778,1383,1010,851
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,City of Isabela,13311,108,893,109,461,453,318,596,430,361,237,262,153
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,City of Zamboanga,23944,199,1025,142,758,245,161,661,339,818,371,73,15
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Region 10,289897,5736,17342,7844,19528,11049,8843,13825,11321,13726,8857,3598,2542
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Bukidnon,99266,1684,5300,2593,8134,5251,4395,6875,5587,4593,3083,1325,1321
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Camiguin,6278,0,0,112,220,0,0,0,0,0,0,0,0
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Lanao del Norte,43737,573,1891,461,1367,2322,1882,2738,2186,1755,1111,606,325
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Misamis Occidental,35953,227,881,460,1010,505,327,615,479,1208,732,183,110
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Misamis Oriental,42816,1069,3707,1600,3210,2027,1464,2423,2066,2098,1315,653,379
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,City of Cagayan De Oro,46893,1522,3725,1814,4041,0,0,0,0,2926,1967,0,0
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,City of Iligan,14954,661,1838,804,1546,944,775,1174,1003,1146,649,831,407
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Region 11,514108,6993,29428,16516,37091,51950,36543,48791,37798,37745,26070,4443,3357
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Davao de Oro,98210,651,4503,1647,5356,6354,4989,8119,6532,3951,3378,3839,2931
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Davao del Norte,126615,1339,8163,4070,10471,11287,8457,11646,9185,12411,10033,0,0
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Davao Oriental,61179,1016,4755,2896,6206,7991,6361,7463,7660,460,370,604,426
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Davao del Sur,49393,684,3426,1547,3749,6407,3608,5399,3000,4618,2231,0,0
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Davao Occidental,23350,327,1716,490,1469,1359,1088,1406,1747,1647,883,0,0
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,City of Davao,155361,2976,6865,5866,9840,18552,12040,14758,9674,14658,9175,0,0
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Region 12,351203,2489,18403,3161,17936,904,774,1697,1322,8515,6054,7968,6038
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Cotabato,95347,989,4853,768,4497,0,0,0,0,2081,1482,2081,1482
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Sarangani,40237,235,2665,384,2723,904,774,1697,1322,1739,1065,692,700
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,South Cotabato,52508,394,2378,550,2262,0,0,0,0,1156,598,1157,597
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Sultan Kudarat,147169,850,8266,1317,8073,0,0,0,0,2894,2425,2894,2426
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,City of General Santos,15942,21,241,142,381,0,0,0,0,645,484,1144,833
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Caraga,222724,3447,13317,8016,15299,12387,8339,16206,11585,11169,7564,5210,3650
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Agusan del Norte,43201,841,3250,1792,3748,3258,2407,4100,3179,2741,2055,1601,1054
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Agusan del Sur,55036,961,4099,1698,4096,2104,1630,2859,2465,2065,1453,853,581
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Surigao del Norte,43225,408,1848,1812,2598,2582,1636,3385,2150,2065,1453,988,483
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Surigao del Sur,44077,735,2669,1567,2911,2686,1660,3679,2437,2458,1398,1121,1116
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Dinagat Islands,7572,130,477,483,681,687,493,797,636,548,424,254,171
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,City of Butuan,29613,372,974,664,1265,1070,513,1386,718,1292,781,393,245
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,BARMM,279892,3373,19063,643,3863,6648,5248,7873,5992,11315,7755,6548,4491
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Basilan,9287,122,681,1,8,191,132,348,315,245,122,209,64
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Lanao del Sur,105137,1608,5660,332,910,4070,3286,4629,3323,4109,3150,4275,3163
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Maguindanao del Norte,36404,323,2458,51,770,0,0,0,0,1761,1189,0,0
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Maguindanao del Sur,54497,474,3084,142,993,0,0,0,0,1516,1032,0,0
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1c. Risk Factors AD.xlsx,Sulu,16900,97,940,2,10,0,0,0,0,699,340,0,0
