Year (coverage),Source Folder,Source File,Area,Risk-assessed Population,With history of smoking (Female),With history of smoking (Male),Binge Drinkers (Female),Binge Drinkers (Male),With Insufficient Physical Activity (Female),With Insufficient Physical Activity (Male),Consumed Unhealthy Diet (Female),Consumed Unhealthy Diet (Male),Overweight (Female),Overweight (Male),Obese (Female),Obese (Male)
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,City of Olongapo,11485,243,596,633,841,0,0,0,0,250,164,0,0
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Region 4A,557262,22244,76461,43022,89575,4686,28121,77028,138021,91333,55008,77028,82845
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Batangas,201302,7740,38293,13090,46294,1294,11202,24210,55577,33694,25041,24210,33257
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Cavite,138180,5465,14007,9849,16486,1088,6234,20042,30731,23631,12327,20042,18396
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Laguna,80792,2342,7386,3960,7420,764,4218,12295,20581,10759,5843,12295,12382
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Quezon,50062,2090,7930,7525,9139,888,2475,7695,11277,8879,4149,7695,6920
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Rizal,70245,3545,6671,7503,8657,548,3192,10604,15867,11812,5782,10604,9505
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,City of Lucena,16681,1062,2174,1095,1579,104,800,2182,3988,2558,1866,2182,2385
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Region 4B,121451,3973,14851,8021,17920,3249,2874,4020,3018,11315,6581,5285,3341
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Marinduque,4805,13,122,40,174,0,0,2,0,201,100,52,16
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Occidental Mindoro,16388,638,3599,1138,4215,1013,643,1241,660,801,413,380,245
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Oriental Mindoro,50184,2129,6087,3616,7833,1139,1451,1955,1718,4188,3219,2643,1734
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Palawan,33401,744,3658,1804,3956,444,361,442,376,3106,1510,1238,678
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Romblon,8776,174,491,542,813,653,419,380,264,1199,512,297,477
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,City of Puerto Princesa,7897,275,894,881,929,0,0,0,0,1820,827,675,191
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Region 5,187803,4740,25593,12329,25186,15101,10053,7436,4538,27568,22077,2244,981
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Albay,25141,404,1192,200,703,492,352,493,385,702,478,301,185
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Camarines Norte,14643,329,1909,841,1400,134,54,173,63,1629,1132,784,153
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Camarines Sur,72298,1577,8483,4068,7346,7797,4771,6651,3992,8355,4877,1093,617
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Catanduanes,16109,497,3966,3074,5751,6595,4826,0,0,6595,4826,0,0
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Masbate,18092,1202,5289,2174,5322,0,0,0,0,3363,7039,0,0
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Sorsogon,39336,688,4514,1855,4424,0,0,0,0,6605,3588,0,0
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,City of Naga,2184,43,240,117,240,83,50,119,98,319,137,66,26
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Region 6,228907,5064,21672,6535,25485,4941,3586,6760,5585,10948,8366,2898,1764
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Aklan,9949,343,1112,677,1256,1436,908,1397,932,1328,824,591,248
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Antique,33691,615,3176,661,3598,16,36,4,4,1612,958,20,9
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Capiz,61076,542,4585,1387,5488,3455,2610,4825,4250,1348,930,1578,907
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Guimaras,14645,134,1350,369,2388,34,32,534,399,1844,1123,562,437
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Iloilo,79774,3025,10415,2933,11663,0,0,0,0,3911,3942,147,163
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,City of Iloilo,29772,405,1034,508,1092,0,0,0,0,905,589,0,0
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Region 7,205400,5580,20822,17493,32287,24205,18588,28253,20209,21833,14321,13912,9537
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Bohol,30612,705,2394,2194,3874,1901,1226,2493,1641,3345,2106,999,596
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Cebu,124898,3681,15309,12615,24475,16286,13884,19040,15002,15127,10104,11686,8140
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,City of Cebu,18239,509,1472,1372,1948,2056,1056,2576,1224,2190,1359,428,260
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,City of Lapu-Lapu,22858,638,1567,1270,1894,3901,2362,4107,2288,1142,719,762,516
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,City of Mandaue,8793,47,80,42,96,61,60,37,54,29,33,37,25
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Region 8,148921,6281,16128,14085,20779,331,220,337,221,12931,8890,56,58
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Biliran,5099,157,383,614,657,331,220,337,221,563,298,56,58
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Eastern Samar,16319,107,698,1701,1904,0,0,0,0,854,592,0,0
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Leyte,31568,1182,4309,2882,3845,0,0,0,0,2087,1140,0,0
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Northern Samar,16914,465,1701,1380,2245,0,0,0,0,2362,1256,0,0
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Southern Leyte,33621,1143,4033,2712,6017,0,0,0,0,4827,3952,0,0
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Samar,20700,2636,3666,2733,3770,0,0,0,0,1202,695,0,0
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Ormoc City,7112,76,217,355,600,0,0,0,0,662,730,0,0
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,City of Tacloban,17588,515,1121,1708,1741,0,0,0,0,374,227,0,0
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Region 9,113317,2975,14754,3353,11489,2755,1934,5246,3653,5895,3627,1070,817
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Zamboanga del Norte,23640,746,3055,826,2528,1088,766,1292,1066,1071,612,278,203
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Zamboanga del Sur,35128,872,5085,1288,4385,789,572,1832,1064,1805,1207,215,97
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Zamboanga Sibugay,33200,645,3897,858,3152,455,318,644,587,1206,815,509,493
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,City of Isabela,6855,164,833,134,467,0,0,740,477,740,477,0,0
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,City of Zamboanga,14494,548,1884,247,957,423,278,738,459,1073,516,68,24
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Region 10,130229,0,0,6493,16293,0,0,0,0,0,0,0,0
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Bukidnon,41506,0,0,2856,7978,0,0,0,0,0,0,0,0
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Camiguin,3928,0,0,168,365,0,0,0,0,0,0,0,0
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Lanao del Norte,20862,0,0,785,1806,0,0,0,0,0,0,0,0
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Misamis Occidental,15966,0,0,633,1469,0,0,0,0,0,0,0,0
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Misamis Oriental,21669,0,0,0,0,0,0,0,0,0,0,0,0
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,City of Cagayan De Oro,19669,0,0,1718,4132,0,0,0,0,0,0,0,0
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,City of Iligan,6629,0,0,333,543,0,0,0,0,0,0,0,0
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Region 11,280893,10673,33700,22203,41577,79258,48508,74315,47458,50931,28970,7255,4667
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Davao de Oro,52084,1414,7080,3776,8981,14020,8936,15704,10338,8897,5383,6772,4293
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Davao del Norte,71198,1910,9470,5333,12213,15708,9711,16168,9562,18754,12194,0,0
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Davao Oriental,33190,1038,5056,3301,6140,10283,7285,9460,9091,354,221,483,374
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Davao del Sur,29696,1776,3668,2942,4341,13029,6700,12732,6162,6989,2915,0,0
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Davao Occidental,12663,832,2192,816,1712,1774,1140,1588,1676,1926,1005,0,0
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,City of Davao,82062,3703,6234,6035,8190,24444,14736,18663,10629,14011,7252,0,0
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Region 12,164201,2675,19850,3712,19128,1199,671,1309,752,6199,4849,6121,4565
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Cotabato,53169,1255,6841,1417,6728,83,57,115,83,1492,1062,1454,1013
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Sarangani,15466,199,1635,231,1151,553,356,690,422,1140,681,318,185
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,South Cotabato,27358,319,2815,500,2624,0,0,0,0,0,0,0,0
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Sultan Kudarat,60648,848,8284,1328,8102,0,0,0,0,2894,2426,2894,2425
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,City of General Santos,7560,54,275,236,523,563,258,504,247,673,680,1455,942
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Caraga,120211,3985,15973,9080,17572,9842,5963,12447,8030,14445,8844,4336,2108
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Agusan del Norte,19970,505,2180,1446,2571,2380,1263,2917,1664,2394,1426,1282,556
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Agusan del Sur,31188,1377,5503,1908,5124,1765,1361,2265,1927,1972,1427,777,476
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Surigao del Norte,26090,645,2969,2414,3629,3289,1518,4068,2010,3714,2176,1002,426
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Surigao del Sur,24283,850,3514,2195,4121,2408,1821,3197,2429,3254,1909,1275,650
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Dinagat Islands,3576,71,417,294,580,0,0,0,0,677,348,0,0
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,City of Butuan,15104,537,1390,823,1547,0,0,0,0,2434,1558,0,0
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,BARMM,129761,3290,15895,390,3099,401,301,341,382,11272,7236,1075,601
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Basilan,5021,110,622,8,19,113,139,199,217,274,99,251,73
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Lanao del Sur,49365,1754,5177,110,467,0,4,3,3,5217,3804,365,254
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Maguindanao del Norte,18404,383,2374,72,1089,0,0,0,0,1991,1211,0,0
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Maguindanao del Sur,25733,588,2980,125,742,0,0,0,0,1483,969,0,0
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Sulu,6713,78,976,1,15,0,0,0,0,745,236,0,0
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Tawi-Tawi,4998,119,1839,23,412,267,127,118,137,543,233,169,109
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Special Geographic Area (SGA),7225,114,1152,4,36,21,31,21,25,387,287,290,165
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,City of Cotabato,12302,144,775,47,319,0,0,0,0,632,397,0,0
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,NIR,131375,4332,18921,7303,21566,2079,1129,0,0,12143,7946,2178,1011
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Negros Occidental,89038,3390,14844,4995,16300,0,0,0,0,6680,4915,0,0
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Negros Oriental,29643,690,2988,1445,3604,2079,1129,0,0,2803,1705,2178,1011
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,Siquijor,4909,48,441,393,689,0,0,0,0,719,483,0,0
1st Quarter 2025,2025Q1,C:\DATABASES\2025Q1Risk Factors AD Risk Assessed.xlsx,City of Bacolod,7785,204,648,470,973,0,0,0,0,1941,843,0,0
1st Quarter 2025,Synthetic,Risk Factor AD synthetic row 0001,Bukidnon,102393,369,608,5806,9879,3798,516,1043,6540,5236,3059,1828,0
2nd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0002,Ilocos Norte,18307,0,983,0,0,0,0,160,0,0,627,92,0
3rd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0003,Special Geographic Area (SGA),1,0,0,0,0,0,0,0,0,1,0,0,1
3rd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0004,Region 4B,74573,2076,10196,7033,9933,1954,2995,2458,1980,9877,2234,584,2488
3rd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0005,Kalinga,16163,89,1287,367,2862,0,169,257,114,8,1150,2871,75
2nd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0006,Maguindanao del Sur,35092,572,3385,35092,78,520,0,0,0,35092,35092,235,201
2nd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0007,Southern Leyte,31225,999,1042,2773,6456,0,33,0,25,0,3977,0,191
1st Quarter 2025,Synthetic,Risk Factor AD synthetic row 0008,City of Angeles,16508,952,259,1084,663,1243,39,0,70,934,536,169,192
2nd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0009,Cebu,28779,0,301,2732,662,3335,3323,2126,182,776,2557,0,1615
2nd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0010,Bataan,74265,0,0,1347,2817,0,0,0,0,2344,3605,1052,253
2nd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0011,City of Mandaluyong,13658,224,562,433,806,0,190,0,394,3175,627,0,159
3rd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0012,Ifugao,18107,352,0,178,1591,0,1,0,134,0,927,0,1060
2nd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0013,Maguindanao del Sur,63989,571,7753,1279,0,604,0,196,274,61701,820,0,0
1st Quarter 2025,Synthetic,Risk Factor AD synthetic row 0014,City of Mandaue,24142,24,1543,197,0,116,2976,100,0,885,176,0,0
3rd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0015,Pampanga,114314,1017,9305,5132,0,81,0,1972,2250,1549,1741,119,0
3rd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0016,City of Angeles,14619,224,1755,0,1298,25,599,127,0,496,776,0,0
2nd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0017,Romblon,10318,575,950,1065,1612,809,23,30,302,3003,603,224,637
1st Quarter 2025,Synthetic,Risk Factor AD synthetic row 0018,Region 5,187342,6448,23416,12196,24694,17232,8149,11103,3697,26306,25272,2245,917
1st Quarter 2025,Synthetic,Risk Factor AD synthetic row 0019,City of Pasig,47203,2002,2599,5334,3218,83,0,0,0,5328,4191,171,0
1st Quarter 2025,Synthetic,Risk Factor AD synthetic row 0020,Guimaras,150431,66,13884,32,3927,0,373,6654,281,0,1840,0,3954
1st Quarter 2025,Synthetic,Risk Factor AD synthetic row 0021,Zamboanga del Norte,57482,0,4187,2931,7244,2432,3569,2851,2979,823,730,593,77
2nd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0022,Occidental Mindoro,11231,549,1195,1531,1182,834,540,1255,0,864,54,310,93
3rd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0023,Apayao,8491,0,206,197,544,25,81,0,0,94,639,1231,387
2nd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0024,Occidental Mindoro,11241,336,3206,976,0,558,790,861,350,159,173,102,4
1st Quarter 2025,Synthetic,Risk Factor AD synthetic row 0025,City of Butuan,10358,121,360,0,1063,0,267,0,0,1555,131,0,0
1st Quarter 2025,Synthetic,Risk Factor AD synthetic row 0026,Region 8,139931,4428,13371,16109,7475,1638,0,2901,37,879,1961,0,832
1st Quarter 2025,Synthetic,Risk Factor AD synthetic row 0027,Region 10,107395,1399,752,3399,10980,5478,0,4573,0,0,95,540,1519
3rd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0028,Bataan,72846,1316,5449,1567,1695,1220,62,378,1074,2285,0,0,0
1st Quarter 2025,Synthetic,Risk Factor AD synthetic row 0029,Romblon,10425,236,679,625,1224,792,64,117,415,0,992,171,665
2nd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0030,Masbate,26075,2651,6688,0,7776,1493,257,314,0,4703,0,940,393
2nd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0031,Lanao del Norte,16767,0,13,11,1577,200,0,0,0,646,435,287,35
2nd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0032,Kalinga,17831,80,0,0,2949,0,70,64,277,1807,0,1986,8
2nd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0033,Aklan,28738,2,917,1142,1265,3749,277,1105,2802,280,2333,63,1334
2nd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0034,La Union,87216,0,3283,1296,1653,1059,658,625,419,1173,11837,812,40
3rd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0035,Surigao del Norte,30380,706,1552,2698,0,4203,1387,2228,1348,1647,928,354,847
3rd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0036,Nueva Ecija,131289,5849,12854,6410,0,2599,0,2229,1830,5922,2146,463,1510
2nd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0037,Antique,38150,470,0,842,595,791,38,1643,0,1822,1212,618,0
2nd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0038,Sultan Kudarat,31529,0,4229,177,0,0,0,126,76,1338,0,1179,1046
3rd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0039,Cebu,138417,1545,9004,5745,25767,9560,1421,1154,2826,156,3452,8125,1166
1st Quarter 2025,Synthetic,Risk Factor AD synthetic row 0040,Biliran,12523,279,1082,1687,1137,719,455,697,24,1108,262,500,0
3rd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0041,City of Dagupan,4101,63,0,0,277,0,0,0,0,15,148,16,0
2nd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0042,City of General Santos,13072,2,0,207,847,0,0,889,39,558,57,304,1450
3rd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0043,City of Muntinlupa,12386,509,197,72,173,0,254,55,0,4583,1329,0,0
2nd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0044,South Cotabato,27905,211,1058,1021,134,0,0,0,206,16,420,0,520
2nd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0045,Ormoc City,6399,0,18,189,484,0,0,100,0,571,602,0,14
2nd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0046,Ifugao,35502,536,549,1254,3264,460,230,0,0,0,0,1616,2027
2nd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0047,Nueva Vizcaya,49694,132,0,1136,0,611,926,1289,1147,959,463,0,1081
2nd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0048,Region 5,1,0,1,0,0,0,0,0,0,1,0,0,0
2nd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0049,Region 7,423736,6460,0,29794,95346,47629,36131,68199,72730,19873,54843,18583,35095
3rd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0050,NIR,112310,2255,19991,5407,16941,3224,272,0,0,1967,6603,2911,1497
1st Quarter 2025,Synthetic,Risk Factor AD synthetic row 0051,Maguindanao del Sur,30422,404,0,25348,26387,137,0,116,0,778,1258,411,22
1st Quarter 2025,Synthetic,Risk Factor AD synthetic row 0052,City of Puerto Princesa,9410,28,2475,103,1140,126,0,22,0,1124,664,798,321
2nd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0053,Region 5,159607,4947,19133,9263,27612,7776,0,16609,7760,17550,5463,406,1757
1st Quarter 2025,Synthetic,Risk Factor AD synthetic row 0054,Sarangani,16581,77,35,253,1303,26,211,0,808,82,294,250,206
2nd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0055,Mountain Province,23185,392,1200,0,1594,18,0,28,117,251,1435,0,1392
3rd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0056,Camiguin,3699,0,12,159,244,0,40,0,11,0,33,12,0
1st Quarter 2025,Synthetic,Risk Factor AD synthetic row 0057,Quezon City,90311,2491,520,3760,1633,6258,602,0,1344,0,0,481,0
2nd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0058,Pangasinan,122688,486,8457,118755,6785,0,1740,827,1238,5624,111448,0,224
2nd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0059,City of Lucena,14876,384,772,1256,843,74,48,0,2048,1371,93,90,1841
2nd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0060,Basilan,1,1,0,0,1,1,1,0,0,1,1,1,1
2nd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0061,Region 12,168609,0,23779,6392,22238,154,0,1837,439,10894,2627,1241,8455
3rd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0062,Cotabato,51791,1110,6501,121,8343,180,369,29,136,2012,1188,130,1629
2nd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0063,Batanes,1902,18,214,289,481,218,96,336,202,127,142,25,17
3rd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0064,Rizal,54378,2679,2976,2821,6820,426,0,463,12349,10104,3684,4952,7027
3rd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0065,City of Isabela,6853,108,766,185,467,0,10,609,547,159,548,0,115
2nd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0066,Tawi-Tawi,5483,102,5483,0,5464,317,198,15,224,15,190,4744,123
2nd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0067,City of Tacloban,17240,0,1321,1844,792,105,0,0,51,0,226,0,103
3rd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0068,Albay,18423,356,1236,0,1200,81,342,1476,0,231,884,244,55
3rd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0069,City of Angeles,16502,978,1320,728,1452,127,543,0,411,920,0,420,0
1st Quarter 2025,Synthetic,Risk Factor AD synthetic row 0070,Davao del Norte,87293,156,5783,428,0,21492,11904,780,7877,20564,18379,0,655
1st Quarter 2025,Synthetic,Risk Factor AD synthetic row 0071,Maguindanao del Norte,19639,0,2443,239,687,0,0,269,0,19639,0,278,0
1st Quarter 2025,Synthetic,Risk Factor AD synthetic row 0072,City of Isabela,13544,253,0,151,874,187,195,603,1111,1107,96,42,0
3rd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0073,City of Mandaue,21309,0,164,0,0,272,1867,0,56,944,302,223,0
2nd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0074,City of Parañaque,22143,399,187,166,64,0,94,0,42,232,0,403,41
3rd Quarter 2025,Synthetic,Risk Factor AD synthetic row 0075,Catanduanes,17949,393,5982,734,5431,7504,352,208,161,182,935,551,0
